DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,C44,Catering Staff,,IE
CountryLookupValue,C45,Cattery Employee,,IE
CountryLookupValue,C46,Cattery Owner,,IE
CountryLookupValue,C47,Caulker,,IE
CountryLookupValue,C48,Ceiling Contractor,,IE
CountryLookupValue,C49,Ceiling Fixer,,IE
CountryLookupValue,C50,Cellarman,,IE
CountryLookupValue,C51,Centre Lathe Operator,,IE
CountryLookupValue,C52,Certified Accountant,,IE
CountryLookupValue,C53,Chambermaid,,IE
CountryLookupValue,C54,Chandler,,IE
CountryLookupValue,C55,Chaplain,,IE
CountryLookupValue,C56,Charge Hand,,IE
CountryLookupValue,C57,Charity Worker,,IE
CountryLookupValue,C58,Chartered Accountant,,IE
CountryLookupValue,C59,Chartered Engineer,,IE
CountryLookupValue,C60,Chartered Surveyor,,IE
CountryLookupValue,C61,Chartered Valuer,,IE
CountryLookupValue,C62,Charterer,,IE
CountryLookupValue,C63,Chauffeur,,IE
CountryLookupValue,C64,Check-Out Assistant,,IE
CountryLookupValue,C65,Chef,,IE
CountryLookupValue,C66,Chemical Engineer,,IE
CountryLookupValue,C67,Chemist,,IE
CountryLookupValue,C68,Chicken Chaser,,IE
CountryLookupValue,C69,Chicken Sexer,,IE
CountryLookupValue,C70,Chief Cashier,,IE
CountryLookupValue,C71,Chief Chemist,,IE
CountryLookupValue,C72,Chief Executive,,IE
CountryLookupValue,C73,Child Minder,,IE
CountryLookupValue,C74,Childminder,,IE
CountryLookupValue,C75,Childrens Entertainer,,IE
CountryLookupValue,C76,Chimney Sweep,,IE
CountryLookupValue,C77,China Restorer,,IE
CountryLookupValue,C78,Chiropodist,,IE
CountryLookupValue,C79,Chiropractor,,IE
CountryLookupValue,C80,Choreographer,,IE
CountryLookupValue,C81,Church Officer,,IE
CountryLookupValue,C82,Church Warden,,IE
CountryLookupValue,C83,Cinema Assistant,,IE
CountryLookupValue,C84,Cinema Manager,,IE
CountryLookupValue,C85,Circus Proprietor,,IE
CountryLookupValue,C86,Circus Worker,,IE
CountryLookupValue,C87,Civil Engineer,,IE
CountryLookupValue,C88,Civil Servant,,IE
CountryLookupValue,C89,Claims Adjustor,,IE
CountryLookupValue,C90,Claims Assessor,,IE
CountryLookupValue,C91,Claims Manager,,IE
CountryLookupValue,C92,Clairvoyant,,IE
CountryLookupValue,C93,Classical Musician,,IE
CountryLookupValue,C94,Classroom Aide,,IE
CountryLookupValue,C95,Clay Pigeon Instructor,,IE
CountryLookupValue,C96,Cleaner,,IE
CountryLookupValue,C97,Cleaning Contractor,,IE
CountryLookupValue,C98,Cleaning Supervisor,,IE
CountryLookupValue,C99,Clergy,,IE
CountryLookupValue,C100,Cleric,,IE
CountryLookupValue,C101,Clerical Assistant,,IE
CountryLookupValue,C102,Clerical Officer,,IE
CountryLookupValue,C103,Clerk,,IE
CountryLookupValue,C104,Clerk Of Works,,IE
CountryLookupValue,C105,Clinical Psychologist,,IE
CountryLookupValue,C106,Clock Maker,,IE
CountryLookupValue,C107,Club Steward,,IE
CountryLookupValue,C108,Coach,,IE
CountryLookupValue,C109,Coach Builder,,IE
CountryLookupValue,C110,Coach Driver,,IE
CountryLookupValue,C111,Coach Sprayer,,IE
CountryLookupValue,C112,Coal Merchant,,IE
CountryLookupValue,C113,Coastguard,,IE
CountryLookupValue,C114,Cobbler,,IE
CountryLookupValue,C115,Coffee Merchant,,IE
CountryLookupValue,C116,Coin Dealer,,IE
CountryLookupValue,C117,Collector - Door To Door,,IE
CountryLookupValue,C118,College Dean,,IE
CountryLookupValue,C119,College Lecturer,,IE
CountryLookupValue,C120,College Principal,,IE
CountryLookupValue,C121,Commercial Artist,,IE
CountryLookupValue,C122,Commercial Manager,,IE
CountryLookupValue,C123,Commercial Traveller,,IE
CountryLookupValue,C124,Commission Agent,,IE
CountryLookupValue,C125,Commissionaire,,IE
CountryLookupValue,C126,Commissioned Officer,,IE
CountryLookupValue,C127,Commissioning Engineer,,IE
CountryLookupValue,C128,Commodity Broker,,IE
CountryLookupValue,C129,Commodity Dealer,,IE
CountryLookupValue,C130,Communications Officer,,IE
CountryLookupValue,C131,Communications Supervisor,,IE
CountryLookupValue,C132,Community Craft Instructor,,IE
CountryLookupValue,C133,Community Nurse,,IE
CountryLookupValue,C134,Community Worker,,IE
CountryLookupValue,C135,Company Chairman,,IE
CountryLookupValue,C136,Company Director,,IE
CountryLookupValue,C137,Company Search Agent,,IE
CountryLookupValue,C138,Company Secretary,,IE
CountryLookupValue,C139,Complementary Therapist,,IE
CountryLookupValue,C140,Composer,,IE
